birth,gender,sexuality,ethnicity,childhood,religion,politics,parent_edu,parent_north_amer,household_inc,parent_stem,family_funded,hs_avg,hs_extrac,hs_accel,discovery,fac_apps,industry_goal,job_search_1a,job_search_1b,job_search_2a,job_search_2b,job_search_3a,job_search_3b,industry_1a,industry_1b,industry_2a,industry_2b,industry_3a,industry_3b,city_1a,city_1b,city_2a,city_2b,city_3a,city_3b,salary_1a,currency_1a,salary_1b,currency_1b,salary_2a,currency_2a,salary_2b,currency_2b,salary_3a,currency_3a,salary_3b,currency_3b,negotiate,negotiate_add,uni_fund,company_1a,company_1b,company_2a,company_2b,company_3a,company_3b,avg_1a,avg_1b,avg_2a,avg_2b,avg_3a,avg_3b,avg_4a,avg_4b_estim,avg_4a_cumul,avg_4b_cumul_estim,rent_1a,rent_1b,rent_2a,rent_2b,rent_3a,rent_3b,rent_4a,rent_4b,stress_1a,stress_1b,stress_2a,stress_2b,stress_3a,stress_3b,stress_4a,stress_4b,attendance_1a,attendance_1b,attendance_2a,attendance_2b,attendance_3a,attendance_3b,attendance_4a,attendance_4b,years_to_finish,exchange,most_interesting,most_interesting_grade,most_useful,most_useful_grade,worst,worst_grade,finance,choice,cheated,cheated_form,satisfaction,useful,clique,dating,sydecest,potential,friends,closest,dating_tool,virginity,sexual_partners,drugs,alc_1,weed_1,drugs_1,alc_4,weed_4,drugs_4
1997,Male,Heterosexual,East Asian,GTA,Christian,3,Bachelors,No,$0 - 50k,"Yes, engineering",0 - 25%,94,Student club member,Gifted/enhanced,Word of mouth,None,No clue,Waterloo Works,Waterloo Works,Waterloo Works,Waterloo Works,Waterloo Works,Waterloo Works,Software,Software,Software,Software,Software,Software,GTA,GTA,GTA,GTA,GTA,Cali,15,cad,20.5,cad,17.5,cad,28,cad,35,cad,50,usd,Yes,3,Student loans,Government/ Non-Profit,Software,Software,Software,Software,Software,87.91,89.25,79,76,80.2,76.27,81.8,,81.49,,Lived at home,Lived at home,Lived at home,Lived at home,Lived at home,Lived at home,Lived at home,< $500/ month,5,5,10,10,10,10,10,10,Almost always,Almost always,Occasionally,About half the time,About half the time,About half the time,About half the time,Most of the time,5,None,SYDE 223,85,SYDE 223,85,SYDE 283,55,$10 - 20k loans/debt,Not sure,"Cheated on an assignment/project, Cheated on a written quiz/test, Cheated on an online quiz/test, Cheated on a midterm/final","Unauthorized collaboration, Unauthorized use of previous terms' materials, Fabricating data",5,3,9,0,No,,10-20,5,,Have not had sex,0,Alcohol,Never,Never,Never,Once or twice a term,Never,Never
1997,Male,Heterosexual,Cauasian,Other Ontario,Agnostic,2,Bachelors,Yes,$100 - 150k,No,25 - 50%,96,"Leadership program, Student club member, Student club leader, Music",IB,Word of mouth,None,Software,Waterloo Works,Waterloo Works,Waterloo Works,Waterloo Works,Waterloo Works,Previous Employer,Software,Software,Software,Software,Software,Software,GTA,GTA,KW,KW,KW,KW,18,cad,20,cad,21,cad,24,cad,29,cad,31,cad,No,,"Family, Co-op, Scholarships",Software,Other,Software,Software,Software,Software,81.2,76.4,67.6,72,69.2,74.3,85.6,89,75.2,,$700 - 800/month,$600 - 700/month,$600 - 700/month,$700 - 800/month,$600 - 700/month,$600 - 700/month,$700 - 800/month,$600 - 700/month,2,2,3,7,2,3,6,1,Most of the time,Most of the time,Most of the time,Most of the time,Most of the time,Most of the time,Almost always,Almost always,5,None,SYDE 522,90,SYDE 223,79,,,< $10k loans/debt,Systems Design Engineering,No,,9,8,2,0,No,Never really thought about it... but at least a dozen,10-20,3,Mutual friends,Have not had sex,0,None,Never,Never,Never,Never,Never,Never
1996,Male,Homosexual,Cauasian,Other Canada,Atheist,2,Bachelors,Yes,$250 - 300k,No,50 - 75%,95,"Organized sports, Local volunteering, Leadership program, Student club member, Non-engineering related job",French immersion,Word of mouth,"Math, Science",Healthcare,Waterloo Works,Waterloo Works,Previous Employer,Waterloo Works,Previous Employer,Previous Employer,Project Management,Software,Product Management,Product Management,Product Management,Product Management,GTA,Other Ontario,Other Ontario,Seattle,Seattle,Seattle,23,cad,25,cad,30,cad,50,usd,55,usd,60,usd,Yes,5,"Family, Co-op, Scholarships",Other,Software,Software,Software,Software,Software,82.3,85.8,83.8,82.8,82,,82.8,70,83.3,,$500 - 600/month,$500 - 600/month,$500 - 600/month,$600 - 700/month,$700 - 800/month,$600 - 700/month,$700 - 800/month,$700 - 800/month,8,6,7,8,8,3,4,5,Almost always,Almost always,Almost always,Most of the time,About half the time,Occasionally,Occasionally,Never,6,Singapore,SYDE 162,89,SYDE 162,89,SYDE 286,79,Not sure,Systems Design Engineering,"Cheated on an assignment/project, Cheated on a written quiz/test, Cheated on an online quiz/test, Cheated on a midterm/final","Unauthorized collaboration, Unauthorized use of previous terms' materials, Fabricating data",8,10,9,3,No,0,30+,4,"Online dating (i.e. Tinder, Hinge, Bumble)",High school or before,21,"Marijuana, Alcohol, MDMA/Ecstasy, Tobacco, Cocaine, Psilocybin (magic mushrooms), LSD, Adderall, Nitrous Oxide, GHB,",Monthly,Monthly,Never,Multiple times a week,Once or twice a term,Monthly
1997,Male,Heterosexual,East Asian,GTA,Atheist,3,Bachelors,No,$0 - 50k,"Yes, engineering",0 - 25%,94,"Local volunteering, Student club member, Student club leader, Music, Non-engineering related job",None,University open house,"Computer Science, Math",Academia/Research,Waterloo Works,Waterloo Works,Waterloo Works,Waterloo Works,Waterloo Works,External Applications,Software,Software,Software,Software,Software,Software,GTA,GTA,KW,GTA,Cali,Other Ontario,16,cad,19,cad,21,cad,24,cad,50,usd,31,cad,No,,"Co-op, Student loans, High school savings",Software,Software,Software,Software,Software,Software,84,83,69,66,75,67,78,85,75,76,> $800/ month,> $800/ month,$600 - 700/month,$600 - 700/month,$600 - 700/month,$600 - 700/month,> $800/ month,> $800/ month,4,2,10,10,9,8,7,8,Almost always,Most of the time,Occasionally,Occasionally,About half the time,About half the time,About half the time,Most of the time,5,None,JAPAN 101R,86,SYDE 223,78,SYDE283,48,$10 - 20k loans/debt,Not sure,"Cheated on an assignment/project, Cheated on a written quiz/test, Cheated on an online quiz/test, Cheated on a midterm/final","Unauthorized collaboration, Unauthorized use of previous terms' materials, Fabricating data",7,4,8,0,No,2,10-20,4,T.T______ i cri......,Have not had sex,0,"Marijuana, Alcohol, Tobacco",Once or twice a term,Never,Never,Monthly,Never,Never
1997,Male,Heterosexual,East Asian,GTA,Agnostic,2,Masters,No,$100 - 150k,"Yes, engineering",25 - 50%,87,"Organized sports, Student club member, Student club leader, Engineering related job",Extended French,Word of mouth,"Computer Science, Math",Software,Waterloo Works,Waterloo Works,Waterloo Works,Networking/ Referral,Previous Employer,Networking/ Referral,Software,Software,Software,Software,Software,Software,KW,Cali,New York,Cali,Other International,Other International,18,cad,32,usd,35,usd,45,usd,40,usd,40,usd,Yes,,"Family, Co-op, Student loans, RESP, Part-time job",Finance,Software,Software,Software,Software,Consulting,79,71,73,72,72,64,85,,74,,> $800/ month,> $800/ month,> $800/ month,> $800/ month,$600 - 700/month,> $800/ month,> $800/ month,> $800/ month,6,4,9,10,10,9,3,4,Never,Never,Never,Never,Never,Never,Never,Never,5,None,ENGL 335,85,SYDE 348,80,SYDE283,40,Just breaking even,Systems Design Engineering,"Cheated on an assignment/project, Cheated on a written quiz/test, Cheated on an online quiz/test, Cheated on a midterm/final","Unauthorized collaboration, Unauthorized use of previous terms' materials, Plagiarism",7,8,9,2,No,4,20-30,2,Mutual friends,University,1,Marijuana,Once or twice a term,Once or twice a term,Never,Once or twice a term,Once or twice a term,Never
1997,Male,Heterosexual,South Asian,Other Ontario,Agnostic,2,Bachelors,No,$0 - 50k,"Yes, but not engineering",0 - 25%,94,"Local volunteering, Leadership program, Student club member",AP,University open house,None,Manufacturing,Waterloo Works,Waterloo Works,Waterloo Works,Waterloo Works,Waterloo Works,Waterloo Works,Research,Other,Project Management,Project Management,Mechanical,Mechanical,KW,GTA,Other Ontario,Other Ontario,Other Ontario,Other Ontario,11,cad,17,cad,15,cad,20,cad,25,cad,26,cad,No,,"Co-op, Bursaries, High school savings",Academia/ Research,Healthcare/ Biotech,Other,Manufacturing,Manufacturing,Manufacturing,74,70,60,60,60,60,60,60,60,65,> $800/ month,> $800/ month,< $500/ month,$500 - 600/month,< $500/ month,$500 - 600/month,Lived at home,Lived at home,9,8,7,6,5,5,5,5,Most of the time,Most of the time,About half the time,Occasionally,Occasionally,Occasionally,Occasionally,Occasionally,5,None,,,,,,,$10 - 20k savings,Systems Design Engineering,"Cheated on an assignment/project, Cheated on a written quiz/test, Cheated on an online quiz/test, Cheated on a midterm/final","Unauthorized collaboration, Unauthorized use of previous terms' materials, Fabricating data",8,8,8,1,No,0,0-5,1,"Online dating (i.e. Tinder, Hinge, Bumble)",Have not had sex,0,None,Never,Never,Never,Never,Never,Never
1994,Prefer not to say,Heterosexual,Cauasian,GTA,Atheist,1,Masters,Yes,$150 - 200k,"Yes, engineering",50 - 75%,85,"Student club member, Music, Classics conference",None,Website/research,Science,Healthcare,Waterloo Works,Waterloo Works,Waterloo Works,Waterloo Works,Waterloo Works,Unemployed,Data Science,Data Science,Research,Hardware,Other,Unemployed,GTA,Other Ontario,GTA,Cali,GTA,Unemployed,24,cad,13.3,cad,13,cad,45,usd,23,cad,,,No,,"Co-op, Student loans, RESP, Part-time job",Software,Government/ Non-Profit,Academia/ Research,Hardware,Consulting,Unemployed,86,78,81,76,83,80,78,80,80.2,80.2,$500 - 600/month,< $500/ month,< $500/ month,$500 - 600/month,$500 - 600/month,$500 - 600/month,< $500/ month,< $500/ month,1,2,6,4,3,5,8,4,Most of the time,About half the time,About half the time,About half the time,Most of the time,Most of the time,Almost always,Almost always,6,None,SYDE 332,82,MSCI 333,70,SYDE 262,80,$10 - 20k savings,Systems Design Engineering,No,,9,9,6,5,No,4,5-10,2,"Online dating (i.e. Tinder, Hinge, Bumble)",University,11,"Marijuana, Alcohol, Tobacco",Weekly,Once or twice a term,Never,Multiple times a week,Once or twice a term,
1997,Male,Heterosexual,East Asian,International,Christian,4,Doctorate,No,$50 - 100k,No,0 - 25%,93,"Local volunteering, Religious activities",None,Website/research,None,,Waterloo Works,Waterloo Works,Waterloo Works,Waterloo Works,Networking/ Referral,External Applications,Other,Software,Software,Software,UI/UX Design,UI/UX Design,GTA,GTA,GTA,GTA,GTA,Cali,16.8,cad,18,cad,20,cad,33,cad,33,cad,55,usd,No,,"Family, Co-op, Student loans, Scholarships",Software,Software,Software,Software,Software,Software,80,75,65,65,70,80,78,78,73,74,> $800/ month,> $800/ month,$600 - 700/month,$600 - 700/month,$600 - 700/month,$700 - 800/month,> $800/ month,> $800/ month,6,7,10,10,9,9,7,7,Almost always,Almost always,Most of the time,Most of the time,Most of the time,Occasionally,Occasionally,Occasionally,5,None,SYDE 101L,,SYDE 162,,SYDE 283,,$10 - 20k loans/debt,Systems Design Engineering,,,6,4,9,1,No,,5-10,5,Mutual friends,,,Alcohol,Once or twice a term,Never,Never,Once or twice a term,Never,Never
1997,Male,Heterosexual,South Asian,KW,Hindu,3,Masters,No,$100 - 150k,"Yes, but not engineering",0 - 25%,93,"Organized sports, Local volunteering, Student club member, Engineering related job",None,Word of mouth,Computer Science,Software,Waterloo Works,Waterloo Works,External Applications,Waterloo Works,Previous Employer,Waterloo Works,Software,Software,Software,Software,Product Management,Product Management,Other Ontario,Other Ontario,Other USA,New York,New York,New York,23,cad,28,cad,37,usd,47,usd,47,usd,50,usd,No,,"Family, Co-op, Student loans, Bursaries",Software,Software,Software,Software,Software,Software,76,78,72,65,70,75,76,75,73,73,> $800/ month,> $800/ month,Lived at home,$700 - 800/month,$700 - 800/month,> $800/ month,> $800/ month,> $800/ month,9,6,9,10,9,8,7,7,Most of the time,Most of the time,Most of the time,About half the time,Most of the time,Most of the time,Occasionally,Occasionally,5,None,SCI 201,,SYDE 162,,SYDE 292,,$10 - 20k loans/debt,Systems Design Engineering,,,5,3,8,2,No,0,5-10,2,"Online dating (i.e. Tinder, Hinge, Bumble)",High school or before,,,Monthly,,,Once or twice a term,,
1996,Female,Heterosexual,Cauasian,GTA,Atheist,2,Bachelors,Yes,$150 - 200k,No,50 - 75%,94,"Student club member, Music, Non-engineering related job",None,Website/research,Science,Sustainability,Waterloo Works,Waterloo Works,Previous Employer,Waterloo Works,Previous Employer,Previous Employer,Data Science,Data Science,Data Science,Data Science,Data Science,Data Science,GTA,KW,KW,Other Ontario,KW,KW,17.43,cad,18.5,cad,21.45,cad,17.43,cad,26.33,cad,28,cad,No,,"Family, Co-op, Student loans, Scholarships, Bursaries, RESP",Government/ Non-Profit,Hardware,Hardware,Government/ Non-Profit,Hardware,Hardware,82.46,85.5,76.4,72.85,79.8,75,85.6,,78.61,80,$500 - 600/month,$500 - 600/month,$500 - 600/month,$500 - 600/month,$500 - 600/month,$600 - 700/month,> $800/ month,> $800/ month,3,2,4,8,4,8,9,8,Most of the time,Almost always,Almost always,Almost always,Most of the time,Almost always,Almost always,Most of the time,6,None,SYDE 522,85,SYDE 522,85,SYDE 362,70,$10 - 20k loans/debt,Systems Design Engineering,Cheated on an online quiz/test,Unauthorized collaboration,7,7,10,2,No,0,5-10,3,Mutual friends,University,3,"Marijuana, Alcohol, Tobacco",Multiple times a week,Once or twice a term,Never,Weekly,Once or twice a term,Never
1997,Male,Homosexual,Southeast Asian,International,Christian,2,Bachelors,No,$0 - 50k,No,25 - 50%,93,None,Private school,Word of mouth,Architecture,Food,Waterloo Works,Previous Employer,Waterloo Works,Waterloo Works,External Applications,External Applications,Other,Software,UI/UX Design,UI/UX Design,UI/UX Design,UI/UX Design,GTA,GTA,KW,GTA,KW,Other International,18.5,cad,18.5,cad,,,,,,,,,No,,"Family, Co-op, Student loans, Scholarships, Bursaries",Finance,Finance,Other,Software,Software,Other,88.73,92.08,80.8,77.85,83.4,,84.6,,84.56,,,,,,,,> $800/ month,> $800/ month,6,5,10,9,8,3,8,,Almost always,Almost always,Most of the time,Most of the time,Most of the time,Most of the time,Most of the time,Most of the time,5,Netherlands,SYDE 348,80,SYDE 162,85,,,< $10k savings,Systems Design Engineering,Cheated on an assignment/project,"Unauthorized collaboration, Unauthorized use of previous terms' materials",6,8,10,1,No,2,5-10,5,"Online dating (i.e. Tinder, Hinge, Bumble)",University,14,"Marijuana, Alcohol",Once or twice a term,Once or twice a term,Never,Monthly,Never,Never
1996,Male,Heterosexual,East Asian,GTA,Agnostic,2,Masters,Yes,$150 - 200k,No,25 - 50%,86,"Student club member, Non-engineering related job",art specialist,Word of mouth,None,Finance,Waterloo Works,Previous Employer,Waterloo Works,Waterloo Works,Waterloo Works,Waterloo Works,Software,Software,Software,Software,Software,Software,GTA,GTA,GTA,GTA,GTA,GTA,18,cad,21,cad,22.5,cad,26,cad,27.25,cad,32,cad,No,,"Family, Co-op, Student loans, Bursaries, RESP",Software,Software,Software,Software,Software,Software,76,77,68,74,71,77,78,75,75.54,75,$500 - 600/month,$500 - 600/month,$600 - 700/month,$500 - 600/month,$600 - 700/month,> $800/ month,> $800/ month,> $800/ month,2,2,8,9,9,7,8,7,Most of the time,About half the time,About half the time,Occasionally,Never,Never,Never,Never,6,None,SYDE 372,79,STAT 331,84,SYDE 383,66,> $20k savings,Software Engineering,"Cheated on an assignment/project, Cheated on a written quiz/test, Cheated on an online quiz/test","Unauthorized collaboration, Unauthorized use of previous terms' materials, Fabricating data, Plagiarism",4,3,10,0,No,lol,10-20,3,Mutual friends,Have not had sex,0,Alcohol,Monthly,Never,Never,Monthly,Never,Never
1996,Female,Prefer not to say,Southeast Asian,GTA,Catholic,2,Masters,No,$50 - 100k,"Yes, engineering",0 - 25%,93,"Student club member, Student club leader",None,Word of mouth,"Architecture, Science",Healthcare,Waterloo Works,Waterloo Works,Waterloo Works,External Applications,Waterloo Works,Networking/ Referral,Other,UI/UX Design,UI/UX Design,UI/UX Design,UI/UX Design,UI/UX Design,GTA,GTA,GTA,GTA,Cali,New York,20,cad,18,cad,24,cad,27,cad,40,usd,50,usd,No,,"Co-op, Student loans, Scholarships, Bursaries",Government/ Non-Profit,Manufacturing,Healthcare/ Biotech,Finance,Software,Software,74,77,74,69,68,76,82,75,74,74,> $800/ month,> $800/ month,$600 - 700/month,$600 - 700/month,$500 - 600/month,$700 - 800/month,> $800/ month,> $800/ month,9,6,8,10,10,9,7,9,Almost always,Almost always,Most of the time,About half the time,About half the time,Most of the time,Almost always,Almost always,6,None,FINE 204,89,SYDE 384,81,SYDE 292L,76,> $20k loans/debt,Architecture,"Cheated on an assignment/project, Cheated on an online quiz/test","Unauthorized collaboration, Unauthorized use of previous terms' materials",8,4,7,4,Yes,2,0-5,5,Mutual friends,University,4,"Marijuana, Alcohol, LSD",Once or twice a term,Never,Never,Monthly,Monthly,Never
1997,Male,Heterosexual,East Asian,GTA,None,2,Masters,Yes,$150 - 200k,"Yes, engineering",25 - 50%,93,"Student club member, Student club leader, Music, Non-engineering related job",Gifted/enhanced,Word of mouth,"Arts, Business, Environment, Math",Academia/Research,Waterloo Works,Waterloo Works,Waterloo Works,Unemployed,Networking/ Referral,Waterloo Works,Software,Software,Research,Unemployed,Research,Software,GTA,GTA,Other Ontario,Unemployed,Other International,New York,18,cad,20,cad,19,cad,,,,,50,usd,No,,"Family, Co-op, Student loans, Scholarships, Bursaries, High school savings",Hardware,Software,Government/ Non-Profit,Unemployed,Academia/ Research,Software,87,86,85,83,90,78,78,,81,89,> $800/ month,,$500 - 600/month,$600 - 700/month,< $500/ month,$500 - 600/month,$500 - 600/month,$700 - 800/month,1,1,1,1,1,6,10,10,Almost always,Almost always,Almost always,Most of the time,Almost always,Occasionally,Occasionally,Never,5,None,,,SYDE 348,85,,,< $10k loans/debt,CS,Cheated on an online quiz/test,Unauthorized collaboration,9,8,10,3,No,5,5-10,2,Mutual friends,University,6,"Marijuana, Alcohol, Tobacco, Psilocybin (magic mushrooms)",Once or twice a term,Once or twice a term,Never,Once or twice a term,Monthly,Never
1998,Male,Heterosexual,East Asian,GTA,Atheist,3,Masters,No,$100 - 150k,"Yes, but not engineering",25 - 50%,91,"Organized sports, Local volunteering, Student club member, Student club leader",AP,Word of mouth,None,Manufacturing,Waterloo Works,Waterloo Works,Waterloo Works,External Applications,Waterloo Works,Networking/ Referral,Software,Software,Software,Software,Software,Software,GTA,GTA,GTA,GTA,Cali,Cali,16.5,cad,18,cad,19,cad,42.5,cad,45,usd,50,usd,No,,"Family, Co-op, Part-time job",Finance,Software,Software,Software,Software,Software,86,81,75.6,74.54,81.4,,80.2,80,79.68,80,$600 - 700/month,$600 - 700/month,$500 - 600/month,$600 - 700/month,$500 - 600/month,< $500/ month,> $800/ month,> $800/ month,2,3,7,8,6,7,3,2,Almost always,Almost always,Almost always,Almost always,About half the time,About half the time,Occasionally,Never,5,Hong Kong,PHIL 220J,84,CS 350,88,SYDE 292,51,> $20k savings,Systems Design Engineering,Cheated on an assignment/project,Unauthorized use of previous terms' materials,7,1,6,2,No,0,10-20,5,Mutual friends,University,2,"Marijuana, MDMA/Ecstasy, Tobacco",Weekly,Once or twice a term,Never,Weekly,Once or twice a term,Never
1997,Male,Heterosexual,Cauasian,GTA,Atheist,3,Masters,Yes,$300k +,"Yes, but not engineering",75 - 100%,95,"Theatre, Math & Programming Competitions","AP, Private school",Word of mouth,Computer Science,Software,Unemployed,Waterloo Works,Unemployed,Waterloo Works,Previous Employer,Waterloo Works,Unemployed,Software,Unemployed,Software,Software,Software,Unemployed,GTA,Unemployed,KW,KW,GTA,,,19,cad,,,20.5,cad,25.5,cad,31.25,cad,No,,"Family, Scholarships",Unemployed,Finance,Unemployed,Software,Software,Software,82,83.33,75.8,66.31,73,68.27,75,75,74.71,75,$600 - 700/month,$600 - 700/month,> $800/ month,> $800/ month,> $800/ month,> $800/ month,> $800/ month,> $800/ month,3,2,5,7,4,8,9,10,Almost always,Almost always,Almost always,Almost always,Almost always,Most of the time,Most of the time,About half the time,5,None,SYDE 522,80,SYDE 348,75,SYDE 322,78,Not sure,Systems Design Engineering,No,,7,8,4,0,No,2,5-10,1,,Have not had sex,0,None,Never,Never,Never,Never,Never,Never
1997,Female,Heterosexual,East Asian,International,Christian,4,Masters,No,$50 - 100k,"Yes, engineering",25 - 50%,93,"Local volunteering, Leadership program, Student club member, Student club leader, Business program",AP,University fair,"Business, Math, Concurrent Ed",I didn't know,Waterloo Works,Waterloo Works,External Applications,Networking/ Referral,Networking/ Referral,Networking/ Referral,UI/UX Design,UI/UX Design,UI/UX Design,UI/UX Design,UI/UX Design,UI/UX Design,GTA,GTA,Cali,Cali,Seattle,New York,16,cad,20,cad,35,usd,40,usd,40,usd,50,usd,No,,"Family, Co-op, Student loans, Scholarships, Bursaries, RESP",Government/ Non-Profit,Software,Software,Software,Software,Software,77,84,75,82,83,,86,85,81,82,$600 - 700/month,$600 - 700/month,$600 - 700/month,$600 - 700/month,$600 - 700/month,$600 - 700/month,$700 - 800/month,$700 - 800/month,7,6,10,9,8,,6,7,Occasionally,About half the time,Most of the time,Most of the time,Almost always,,Most of the time,Most of the time,5,UK,,,,,,,< $10k savings,Systems Design Engineering,"Cheated on an assignment/project, Cheated on an online quiz/test","Unauthorized collaboration, Unauthorized use of previous terms' materials, Fabricating data",9,4,5,4,Yes,1,5-10,4,Mutual friends,Have not had sex,3,None,Once or twice a term,Never,Never,Weekly,Never,Never
1998,Female,Heterosexual,East Asian,GTA,Christian,2,Bachelors,No,$50 - 100k,No,0 - 25%,96,"Organized sports, Student club member, Student club leader, Religious activities","AP, Gifted/enhanced",Word of mouth,"Arts, Business, Science",Healthcare,Waterloo Works,Waterloo Works,Waterloo Works,Waterloo Works,Waterloo Works,Networking/ Referral,Software,Software,Software,Software,UI/UX Design,Product Management,GTA,KW,Other International,Other International,Cali,Cali,15,cad,19,cad,25,usd,34,cad,50,usd,45,usd,Yes,2,"Family, Co-op, Student loans, Scholarships, Bursaries",Software,Other,Software,Software,Software,Software,83.54,89.83,88.4,77.92,82,,91.8,88,85.33,85,$500 - 600/month,$500 - 600/month,$500 - 600/month,$500 - 600/month,$500 - 600/month,$500 - 600/month,< $500/ month,$500 - 600/month,1,1,1,5,5,1,1,1,About half the time,About half the time,About half the time,Occasionally,About half the time,About half the time,Occasionally,Occasionally,5,Hong Kong,SYDE 192L,88,SYDE 223,94,SYDE 286,55,$10 - 20k savings,Systems Design Engineering,"Cheated on an assignment/project, Cheated on an online quiz/test","Unauthorized collaboration, Plagiarism",9,8,7,1,Yes,1,10-20,2,Mutual friends,High school or before,5,Marijuana,Multiple times a week,Never,Never,Weekly,Never,Never
1997,Male,Homosexual,East Asian,GTA,Christian,3,Bachelors,No,,No,75 - 100%,92,"Local volunteering, Student club member, Student club leader, Religious activities",Gifted/enhanced,Website/research,"Computer Science, Math, Science",Arts/Media,Waterloo Works,Waterloo Works,Waterloo Works,Waterloo Works,External Applications,External Applications,Software,Software,UI/UX Design,UI/UX Design,UI/UX Design,UI/UX Design,GTA,GTA,GTA,KW,GTA,Cali,19,cad,22,cad,25,cad,21.5,cad,24,cad,48.37,usd,Yes,4,"Family, Co-op, Student loans, RESP, High school savings",Software,Software,Software,Finance,Software,Software,85.46,83.67,76.6,73.46,77.4,,82.8,80,79.57,80,,,$500 - 600/month,$500 - 600/month,$500 - 600/month,,> $800/ month,> $800/ month,5,5,8,10,10,,8,8,Almost always,Almost always,Almost always,Almost always,Most of the time,,About half the time,Occasionally,5,Hong Kong,SYDE 162,93,SYDE 162,93,SYDE 283,56,< $10k savings,Systems Design Engineering,Cheated on an online quiz/test,"Unauthorized collaboration, Unauthorized use of previous terms' materials",5,5,8,3,No,2,20-30,5,"School clubs, instagram",University,6,"Marijuana, Alcohol",Monthly,Never,Never,Weekly,Once or twice a term,Never
1997,Female,Heterosexual,Southeast Asian,International,Buddist,2,Masters,No,$200 - 250k,No,75 - 100%,90,"Local volunteering, Student club member",None,Word of mouth,Arts,Finance,External Applications,Waterloo Works,Waterloo Works,Waterloo Works,Waterloo Works,Previous Employer,Software,Software,UI/UX Design,UI/UX Design,UI/UX Design,UI/UX Design,GTA,KW,KW,GTA,Cali,Cali,12,cad,19,cad,30,cad,25,cad,50,usd,50,usd,No,,"Family, Co-op",Other,Software,Software,Software,Software,Software,70,72,67,66,75,77,81,85,72,73,$600 - 700/month,$600 - 700/month,$600 - 700/month,$700 - 800/month,$500 - 600/month,$600 - 700/month,> $800/ month,> $800/ month,5,7,7,10,6,6,7,6,Almost always,Almost always,Most of the time,Most of the time,Most of the time,Most of the time,Most of the time,Occasionally,5,None,ECON 371,90,SYDE 162,83,SYDE 283,46,> $20k savings,Systems Design Engineering,"Cheated on an assignment/project, Cheated on an online quiz/test",Unauthorized collaboration,7,8,5,1,No,0,10-20,3,Mutual friends,University,1,None,,,,,,
1997,Male,Heterosexual,East Asian,GTA,Christian,3,Bachelors,No,$150 - 200k,"Yes, but not engineering",50 - 75%,95,"Student club member, Student club leader, Music, Theatre, Non-engineering related job",IB,Word of mouth,"Computer Science, Math",Arts/Media,Networking/ Referral,Networking/ Referral,Networking/ Referral,Networking/ Referral,Networking/ Referral,Waterloo Works,Software,Project Management,Other,Other,Other,Other,GTA,GTA,Other USA,Other Ontario,GTA,GTA,15.86,cad,18.28,cad,25,usd,19.23,cad,25,cad,26,cad,No,,"Family, Co-op, Scholarships, RESP, High school savings",Finance,Finance,Finance,Consulting,Consulting,Finance,69,73,69,66,72,72,85,85,72,74,> $800/ month,> $800/ month,$600 - 700/month,$700 - 800/month,$700 - 800/month,> $800/ month,$700 - 800/month,$700 - 800/month,9,6,6,7,6,5,2,1,Most of the time,Most of the time,Most of the time,Most of the time,Most of the time,Most of the time,About half the time,Occasionally,5,None,ARTS 490,,SYDE 348,83,SYDE 286,48,> $20k savings,Systems Design Engineering,"Cheated on an assignment/project, Cheated on an online quiz/test","Unauthorized collaboration, Unauthorized use of previous terms' materials, Fabricating data",9,10,4,1,No,2,20-30,3,"Online dating (i.e. Tinder, Hinge, Bumble)",University,1,"None, Alcohol",Monthly,Never,Never,Monthly,Never,Never
1997,Male,Heterosexual,East Asian,GTA,Atheist,3,Doctorate,Yes,$200 - 250k,No,75 - 100%,94.6,"Organized sports, Local volunteering, Leadership program, Student club member, Student club leader, Music, Non-engineering related job","IB, Private school",University open house,"Business, Computer Science",Software,Waterloo Works,Waterloo Works,Networking/ Referral,Waterloo Works,Previous Employer,Networking/ Referral,Other,Software,Project Management,Software,Software,Research,GTA,GTA,GTA,KW,KW,KW,16,cad,18,cad,15,cad,22,cad,24,cad,,,No,,"Family, Co-op, Scholarships, High school savings, Investments",Software,Software,Manufacturing,Hardware,Hardware,Academia/ Research,69.46,73.5,67.2,75.62,71,71,78.8,80,72.47,73.32,> $800/ month,$700 - 800/month,$700 - 800/month,$700 - 800/month,$700 - 800/month,$700 - 800/month,> $800/ month,$700 - 800/month,7,6,8,8,7,6,8,4,Almost always,Almost always,Almost always,Almost always,Almost always,Almost always,Almost always,Almost always,5,None,,,SYDE 372,67,SYDE 322,79,> $20k savings,Systems Design Engineering,"Cheated on an assignment/project, Cheated on a written quiz/test, Cheated on an online quiz/test","Unauthorized collaboration, Unauthorized use of previous terms' materials, Plagiarism",8,8,7,2,No,3,30+,3,SOLAR CAR RACING,Have not had sex,0,None,Never,Never,Never,Never,Never,Never
